Source:,/Users/andrewwasson/KiCad/AVI ELF II/AVIELF2DISPLAYMAX7219-KiCad/AVIELF2DISPLAYMAX7219.kicad_sch,,,,,,
Date:,"2024 April 28, Sunday 12:14:45",,,,,,
Tool:,Eeschema 7.0.8,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,20,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP
1,3,"C1, C2, C3",100n,Device:C,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,~,
2,1,D1,/Q LED,Device:LED,LED_THT:LED_D3.0mm,~,
3,1,DM1,J1,Connector_Generic:Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~,
4,1,DM2,J2,Connector_Generic:Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~,
5,1,DM3,J3,Connector_Generic:Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~,
6,1,DM4,J4,Connector_Generic:Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~,
7,1,R1,330,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,
8,3,"R2, R3, R4",10K,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,
9,2,"U1, U2",PIC16F1826,1_Josh_lib:PIC16F1826,Package_DIP:DIP-18_W7.62mm,,
10,3,"U3, U4, U5",MAX7219,Driver_LED:MAX7219,Package_DIP:DIP-24_W7.62mm,https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf,
11,3,"U6, U7, U8",~,1_Josh_lib:LED8X8MATRIX,1_Josh_lib:DIP-16_LED8X8MATRIX,,